Date,Close,High,Low,Open,Volume
2022-04-19,73830.2734375,74108.9375,73382.828125,73382.828125,0
2022-04-20,73783.4296875,74205.4765625,73480.828125,73830.2734375,0
2022-04-21,73350.9375,73899.859375,73181.640625,73783.4296875,0
2022-04-22,72264.8984375,73350.9375,72238.9921875,73350.9375,0
2022-04-25,69750.671875,72264.8984375,69692.6015625,72264.8984375,0
2022-04-26,70264.109375,70995.171875,69750.671875,69750.671875,0
2022-04-28,71534.5703125,71613.578125,70264.109375,70264.109375,0
2022-04-29,72438.25,73130.40625,71534.5703125,71534.5703125,0
2022-05-03,71338.9921875,72438.25,71296.640625,72438.25,0
2022-05-04,70357.578125,71338.9921875,70110.2890625,71338.9921875,0
2022-05-05,69682.6484375,71082.5078125,69682.6484375,70357.578125,0
2022-05-06,67978.140625,69682.6484375,67256.71875,69682.6484375,0
2022-05-09,66769.1171875,67978.140625,66481.3828125,67978.140625,0
2022-05-10,66966.7265625,67741.5703125,66769.1171875,66769.1171875,0
2022-05-11,68416.40625,68489.5078125,66820.5625,66966.7265625,0
2022-05-12,67251.890625,68416.40625,65954.359375,68416.40625,0
2022-05-13,68650.65625,68650.65625,67250.1328125,67251.890625,0
2022-05-16,69211.7578125,69269.3828125,68407.4375,68650.65625,0
2022-05-17,69696.390625,70384.40625,69211.7578125,69211.7578125,0
2022-05-18,69083.4375,70017.421875,68977.6484375,69696.390625,0
2022-05-19,68245.84375,69083.4375,67512.3515625,69083.4375,0
2022-05-20,67575.28125,69217.6484375,67575.28125,68245.84375,0
2022-05-23,68367.3671875,68798.0703125,67575.28125,67575.28125,0
2022-05-24,67690.71875,68367.3671875,67491.28125,68367.3671875,0
2022-05-25,67585.25,68227.7421875,66820.0390625,67690.71875,0
2022-05-26,69483.7578125,69573.3125,67585.25,67585.25,0
2022-05-27,70485.4609375,70607.7109375,69423.3671875,69483.7578125,0
2022-05-30,71958.1484375,72063.859375,70485.4609375,70485.4609375,0
2022-05-31,72094.8671875,72289.8828125,71620.2734375,71958.1484375,0
2022-06-01,70849.3828125,72094.8671875,70567.0390625,72094.8671875,0
2022-06-02,71035.0,71334.6328125,70849.3828125,70849.3828125,0
2022-06-03,70920.453125,71752.671875,70920.453125,71035.0,0
2022-06-06,71120.09375,71460.8203125,70830.6171875,70920.453125,0
2022-06-07,70318.2265625,71120.09375,69780.65625,71120.09375,0
2022-06-08,69950.2109375,70706.46875,69879.578125,70318.2265625,0
2022-06-09,68910.796875,70460.7421875,68910.796875,69950.2109375,0
2022-06-10,67803.5078125,68910.796875,67703.1328125,68910.796875,0
2022-06-13,66381.03125,67803.5078125,65961.65625,67803.5078125,0
2022-06-14,65683.5234375,66909.859375,65559.3671875,66381.03125,0
2022-06-15,67502.09375,67544.5078125,65225.94921875,65683.5234375,0
2022-06-17,65390.87890625,67502.09375,65390.87890625,67502.09375,0
2022-06-20,66350.3125,66692.7265625,65390.87890625,65390.87890625,0
2022-06-21,66747.2265625,67508.53125,66350.3125,66350.3125,0
2022-06-22,65712.6796875,66747.2265625,65191.1015625,66747.2265625,0
2022-06-23,65295.421875,65784.96875,64744.53125,65712.6796875,0
2022-06-24,66348.75,66373.2265625,65207.0,65295.421875,0
2022-06-27,67826.78125,68360.40625,66348.75,66348.75,0
2022-06-28,68058.1171875,68686.6484375,67826.78125,67826.78125,0
2022-06-29,67747.40625,68058.1171875,67139.9609375,68058.1171875,0
2022-06-30,66223.3125,67747.40625,66223.3125,67747.40625,0
2022-07-01,65661.7265625,66635.3203125,65452.83984375,66223.3125,0
2022-07-04,67024.8203125,67417.8203125,65661.7265625,65661.7265625,0
2022-07-05,65005.80859375,67092.5,64719.98828125,67024.8203125,0
2022-07-06,65756.359375,66278.8828125,65005.80859375,65005.80859375,0
2022-07-07,67909.2890625,67971.7109375,65756.359375,65756.359375,0
2022-07-08,68327.3984375,68491.3671875,67089.2578125,67909.2890625,0
2022-07-11,67226.75,68327.3984375,66615.5390625,68327.3984375,0
2022-07-12,67163.7109375,67226.75,66619.8671875,67226.75,0
2022-07-13,66142.6875,67163.7109375,65345.53125,67163.7109375,0
2022-07-14,64712.87890625,66381.171875,64348.2890625,66142.6875,0
2022-07-15,65088.8984375,65306.6015625,64118.05078125,64712.87890625,0
2022-07-18,67016.140625,67177.28125,65088.8984375,65088.8984375,0
2022-07-19,67785.0390625,67797.4765625,66418.328125,67016.140625,0
2022-07-20,67652.4609375,68528.65625,67093.0078125,67785.0390625,0
2022-07-21,67907.2421875,68099.3828125,67053.6484375,67652.4609375,0
2022-07-22,68069.578125,68437.8515625,67907.2421875,67907.2421875,0
2022-07-25,67749.7890625,68252.6171875,67322.3671875,68069.578125,0
2022-07-26,68421.796875,68458.25,67749.7890625,67749.7890625,0
2022-07-27,68424.96875,68693.25,68217.7734375,68421.796875,0
2022-07-28,68610.75,69464.7265625,68424.96875,68424.96875,0
2022-07-29,68934.0078125,69176.4375,68478.140625,68610.75,0
2022-08-01,68642.59375,69424.796875,68263.3515625,69016.4609375,0
2022-08-02,68002.2265625,68642.59375,67501.7265625,68642.59375,0
2022-08-03,68610.5703125,69107.9921875,68002.2265625,68002.2265625,0
2022-08-04,68717.0234375,69461.1015625,68610.5703125,68610.5703125,0
2022-08-05,69519.2734375,69645.7734375,68717.0234375,68717.0234375,0
2022-08-08,70266.1328125,70480.3984375,69308.140625,69519.2734375,0
2022-08-10,69744.8984375,70266.1328125,69279.1875,70266.1328125,0
2022-08-11,71264.7734375,71399.609375,69744.8984375,69744.8984375,0
2022-08-12,70731.3203125,71305.0390625,70731.3203125,71264.7734375,0
2022-08-15,70740.6328125,71159.2421875,70629.78125,70731.3203125,0
2022-08-16,71504.6875,71563.0078125,70740.6328125,70740.6328125,0
2022-08-17,70967.3515625,71504.6875,70742.3515625,71504.6875,0
2022-08-18,71011.3828125,71238.6171875,70817.6171875,70967.3515625,0
2022-08-19,69719.4296875,71081.59375,69594.84375,71011.3828125,0
2022-08-22,69195.6015625,69719.4296875,68705.84375,69719.4296875,0
2022-08-23,69772.2734375,70032.640625,69123.1484375,69195.6015625,0
2022-08-24,69808.7109375,70106.3125,69520.4921875,69772.2734375,0
2022-08-25,70340.703125,70592.796875,69808.7109375,69808.7109375,0
2022-08-26,70173.09375,71054.8671875,70062.671875,70340.703125,0
2022-08-29,69207.0234375,70173.09375,68627.9609375,70173.09375,0
2022-08-30,67900.4765625,69548.6171875,67689.4296875,69207.0234375,0
2022-08-31,67257.140625,68636.4609375,67257.140625,67900.4765625,0
2022-09-01,66021.7109375,67257.140625,65830.5,67257.140625,0
2022-09-02,67378.3125,67409.3125,66021.7109375,66021.7109375,0
2022-09-05,67399.390625,67723.328125,66846.0703125,67378.3125,0
2022-09-06,67538.7734375,67954.0703125,67143.53125,67399.390625,0
2022-09-07,66715.828125,67538.7734375,66313.2890625,67538.7734375,0
2022-09-08,67260.2265625,67524.7421875,66596.8671875,66715.828125,0
2022-09-09,68708.4765625,69221.421875,67260.2265625,67260.2265625,0
2022-09-12,69772.40625,70064.6875,68708.4765625,68708.4765625,0
2022-09-13,68273.7109375,69866.5,68128.640625,69772.40625,0
2022-09-14,67964.0234375,68273.7109375,67435.5390625,68273.7109375,0
2022-09-15,67568.2578125,68478.3125,67555.828125,67964.0234375,0
2022-09-16,66584.34375,67568.2578125,66334.3203125,67568.2578125,0
2022-09-19,66474.859375,66584.34375,65540.15625,66584.34375,0
2022-09-20,66602.84375,67439.109375,66425.9375,66474.859375,0
2022-09-21,66208.7109375,66602.84375,65893.15625,66602.84375,0
2022-09-22,65276.96875,66208.7109375,65190.98828125,66208.7109375,0
2022-09-23,63416.66015625,65276.96875,63267.05078125,65276.96875,0
2022-09-26,63625.66015625,63786.98046875,62646.37109375,63416.66015625,0
2022-09-27,64025.94921875,64218.359375,63371.26953125,63625.66015625,0
2022-09-28,63808.3203125,64025.94921875,62193.9296875,64025.94921875,0
2022-09-29,63263.94140625,63945.4296875,62598.87109375,63808.3203125,0
2022-09-30,63726.37109375,63970.80859375,63261.05859375,63263.94140625,0
2022-10-03,64227.23046875,64312.55859375,63280.33984375,63726.37109375,0
2022-10-04,66312.828125,66312.828125,64227.23046875,64227.23046875,0
2022-10-05,65612.7578125,66456.390625,65387.75,66312.828125,0
2022-10-06,65832.671875,66562.1015625,65612.7578125,65612.7578125,0
2022-10-07,65675.4765625,65924.4609375,65217.0,65832.671875,0
2022-10-10,64769.19921875,65675.4765625,64552.01953125,65675.4765625,0
2022-10-11,64588.08984375,65146.5,64121.2890625,64769.19921875,0
2022-10-12,64528.23046875,65023.37890625,64319.94140625,64588.08984375,0
2022-10-13,64392.4296875,64808.0390625,63662.87890625,64528.23046875,0
2022-10-14,64271.359375,65774.421875,64082.3984375,64392.4296875,0
2022-10-17,66190.75,66262.75,64149.01171875,64271.359375,0
2022-10-18,66350.9765625,66902.2734375,66187.8125,66190.75,0
2022-10-19,65652.5,66350.9765625,65175.87890625,66350.9765625,0
2022-10-20,65794.28125,65869.4375,64854.3203125,65652.5,0
2022-10-21,65539.2421875,66015.75,64705.8203125,65794.28125,0
2022-10-24,64975.94921875,65823.8515625,64662.9609375,65539.2421875,0
2022-10-25,65850.84375,66023.6875,64975.94921875,64975.94921875,0
2022-10-26,67103.09375,67103.09375,65850.84375,65850.84375,0
2022-10-27,67123.40625,67371.78125,66641.578125,67103.09375,0
2022-10-28,66385.578125,67123.40625,65799.5234375,67123.40625,0
2022-10-31,66671.6484375,66843.109375,66385.578125,66385.578125,0
2022-11-01,67414.2734375,68210.9609375,66671.6484375,66671.6484375,0
2022-11-02,67123.1015625,67913.6015625,66990.640625,67414.2734375,0
2022-11-03,66046.6484375,67123.1015625,65609.546875,67123.1015625,0
2022-11-04,69305.1875,69437.1328125,66046.6484375,66046.6484375,0
2022-11-07,69439.3203125,69658.96875,68562.828125,69305.1875,0
2022-11-08,69011.453125,69439.3203125,68690.8984375,69439.3203125,0
2022-11-09,69640.2265625,69700.9765625,68957.53125,69011.453125,0
2022-11-10,70710.2734375,70720.0625,68654.3515625,69640.2265625,0
2022-11-11,72982.796875,73435.53125,70710.2734375,70710.2734375,0
2022-11-14,72822.46875,73258.078125,72766.65625,72982.796875,0
2022-11-15,72998.6875,73489.0078125,72702.9765625,72822.46875,0
