Date,Financials,Resources,Industrials,Consumer Goods
2019-12-23,39547.9296875,34873.7109375,39518.6796875,58622.44140625
2019-12-24,39429.28125,35311.01171875,39760.609375,58611.33984375
2019-12-27,39578.16015625,35603.671875,40014.69140625,58453.921875
2019-12-30,39912.87109375,35648.890625,40069.23828125,58532.33984375
2019-12-31,39353.62109375,35521.33984375,39513.5703125,58020.21875
2020-01-02,39640.44140625,35813.578125,39690.6484375,59370.37109375
2020-01-03,39426.6484375,36213.3203125,39630.69140625,59195.3203125
2020-01-06,38629.71875,36078.2890625,38949.44140625,58622.66015625
2020-01-07,38737.53125,35899.87109375,38918.19140625,59694.2109375
2020-01-08,38678.0703125,36077.62109375,38666.66015625,59886.8515625
2020-01-09,38718.55859375,35469.078125,39612.19140625,59613.98046875
2020-01-10,38828.1484375,35605.3203125,39633.7890625,59624.671875
2020-01-13,38502.578125,35845.05078125,39454.94140625,60074.94921875
2020-01-14,39047.73046875,35641.80078125,39845.73046875,60418.30078125
2020-01-15,39118.8515625,35364.21875,39903.8984375,61152.48046875
2020-01-16,39096.6015625,35797.0703125,39761.1484375,60745.8984375
2020-01-17,38806.05078125,36601.3203125,40033.05078125,63057.4296875
2020-01-20,38538.421875,36798.51171875,39645.6484375,61523.4609375
2020-01-21,38456.12109375,35844.73828125,39320.80859375,60586.62109375
2020-01-22,38358.609375,35859.66015625,38950.25,60346.98828125
2020-01-23,38050.390625,34921.4609375,38428.828125,59337.7109375
2020-01-24,38273.26953125,34968.94921875,38560.2890625,59692.98046875
2020-01-27,37609.6015625,34045.7109375,37567.4609375,58697.37890625
2020-01-28,37418.80859375,33927.58984375,37532.48828125,58842.1015625
2020-01-29,37797.30078125,34146.46875,37771.91015625,58934.21875
2020-01-30,37938.62109375,34503.08984375,37663.94921875,58698.76171875
2020-01-31,37284.4609375,34283.75,37103.19921875,58789.578125
2020-02-03,37102.55078125,33807.37890625,37025.01171875,58526.4609375
2020-02-04,37648.4296875,34349.12109375,37059.55078125,59378.0390625
2020-02-05,38173.33984375,34685.80078125,37763.55078125,59732.98828125
2020-02-06,38423.23046875,34532.48046875,37913.69140625,60272.6484375
2020-02-07,38051.08984375,34375.828125,37919.1484375,60132.28125
2020-02-10,37789.9609375,33965.48046875,37551.44921875,60283.48046875
2020-02-11,37764.55078125,34112.1015625,37124.71875,59749.0
2020-02-12,38146.46875,34878.01171875,37567.23828125,60128.03125
2020-02-13,38055.76171875,35051.19140625,37683.1796875,59657.12109375
2020-02-14,38134.12890625,35080.26171875,37510.46875,59312.109375
2020-02-17,38203.62890625,35483.87109375,37411.6796875,59541.03125
2020-02-18,38022.69921875,35209.078125,36730.390625,58729.828125
2020-02-19,37974.73046875,35775.87109375,36470.73046875,58615.1796875
2020-02-20,37377.8203125,36049.5390625,35421.55078125,58809.01953125
2020-02-21,36901.890625,36009.16015625,34351.21875,58520.03125
2020-02-24,35512.73828125,34057.44140625,33245.25,56898.23046875
2020-02-25,35150.62890625,33949.62890625,32814.4609375,56979.37890625
2020-02-26,36458.58984375,33280.140625,33840.75,56386.26953125
2020-02-27,34924.4296875,32435.060546875,32968.80078125,55420.6796875
2020-02-28,33745.9296875,30312.759765625,31728.5,54721.23828125
2020-03-02,33752.359375,30979.7109375,32011.130859375,54803.421875
2020-03-03,34339.01953125,32077.76953125,32589.890625,55969.890625
2020-03-04,34706.01171875,31803.25,32847.96875,55191.921875
2020-03-05,34389.921875,31524.810546875,32928.96875,55618.1796875
2020-03-06,33426.2109375,31009.83984375,32195.5,55459.1015625
2020-03-09,32053.439453125,27397.349609375,30967.16015625,54524.6484375
2020-03-10,32590.890625,27483.44921875,31641.720703125,54437.76171875
2020-03-11,32489.509765625,26967.880859375,31768.2890625,53358.19921875
2020-03-12,30340.30078125,23057.640625,29346.5703125,48260.53125
2020-03-13,30171.689453125,23531.900390625,29337.509765625,48562.21875
2020-03-16,26881.919921875,21750.5,26919.759765625,45256.66015625
2020-03-17,26556.419921875,23089.5390625,27707.2890625,47042.58984375
2020-03-18,23296.80078125,21168.310546875,26392.869140625,47759.078125
2020-03-19,21790.970703125,20146.5703125,24982.41015625,47370.109375
2020-03-20,23227.16015625,21713.3203125,26737.55078125,50700.30859375
2020-03-23,20716.48046875,21031.9296875,24260.30078125,48438.828125
2020-03-24,21990.349609375,23735.0,24461.630859375,50120.6796875
2020-03-25,23413.169921875,25577.630859375,24859.640625,50295.37109375
2020-03-26,25111.4609375,26167.890625,25138.55078125,51821.51171875
2020-03-27,22875.419921875,25209.3203125,24245.48046875,50656.69921875
2020-03-30,22287.7109375,25980.5703125,23396.69921875,51479.578125
2020-03-31,23718.48046875,26065.419921875,24255.599609375,52052.140625
2020-04-01,23463.66015625,25393.359375,23631.650390625,52260.0703125
2020-04-02,23814.939453125,26742.939453125,23868.01953125,53555.328125
2020-04-03,23186.490234375,26471.669921875,23394.8203125,53485.41015625
